Created on March	04/03/2014 09:50
Date;T1.T;T3.T;T5.T
01/01/2014 02:550500;286.189;288.514;293.149
01/01/2014 02:560560;286.165;288.514;293.148
01/01/2014 02:560600;286.149;288.514;293.147
01/01/2014 02:580680;286.116;288.514;293.145
01/01/2014 02:580700;286.108;288.514;293.145
01/01/2014 03:000800;286.068;288.514;293.143
01/01/2014 03:010900;286.028;288.514;293.141
01/01/2014 03:020920;286.02;288.514;293.14
01/01/2014 03:031000;285.989;288.514;293.139
01/01/2014 03:041040;285.973;288.514;293.138
01/01/2014 03:051100;285.949;288.514;293.137
01/01/2014 03:061160;285.926;288.514;293.135
01/01/2014 03:061200;285.911;288.514;293.135
01/01/2014 03:081280;285.88;288.514;293.133
01/01/2014 03:081300;285.872;288.514;293.132
01/01/2014 03:101400;285.834;288.514;293.13
01/01/2014 03:111500;285.796;288.514;293.128
01/01/2014 03:121520;285.788;288.514;293.128
01/01/2014 03:131600;285.758;288.514;293.126
01/01/2014 03:141640;285.743;288.514;293.125
01/01/2014 03:151700;285.72;288.514;293.124
01/01/2014 03:161760;285.698;288.514;293.123
01/01/2014 03:161800;285.683;288.514;293.122
01/01/2014 03:181880;285.654;288.514;293.12
01/01/2014 03:181900;285.646;288.514;293.12
01/01/2014 03:202000;285.61;288.515;293.118
01/01/2014 03:212100;285.573;288.515;293.116
01/01/2014 03:222120;285.566;288.515;293.115
01/01/2014 03:232200;285.537;288.515;293.114
01/01/2014 03:242240;285.523;288.515;293.113
01/01/2014 03:252300;285.501;288.515;293.112
01/01/2014 03:262360;285.48;288.515;293.11
01/01/2014 03:262400;285.466;288.515;293.11
01/01/2014 03:282480;285.437;288.515;293.108
01/01/2014 03:282500;285.43;288.515;293.108
01/01/2014 03:302600;285.395;288.515;293.105
01/01/2014 03:312700;285.361;288.515;293.103
01/01/2014 03:322720;285.354;288.515;293.103
01/01/2014 03:332800;285.326;288.515;293.101
01/01/2014 03:342840;285.312;288.515;293.1
01/01/2014 03:352900;285.292;288.516;293.099
01/01/2014 03:362960;285.271;288.516;293.098
01/01/2014 03:363000;285.258;288.516;293.097
01/01/2014 03:383080;285.231;288.516;293.095
01/01/2014 03:383100;285.224;288.516;293.095
01/01/2014 03:403200;285.191;288.516;293.093
01/01/2014 03:413300;285.157;288.516;293.091
01/01/2014 03:423320;285.151;288.516;293.09
01/01/2014 03:433400;285.124;288.516;293.089
01/01/2014 03:443440;285.111;288.516;293.088
01/01/2014 03:453500;285.092;288.516;293.087
01/01/2014 03:463560;285.072;288.516;293.085
01/01/2014 03:463600;285.059;288.516;293.085
01/01/2014 03:483680;285.033;288.517;293.083
01/01/2014 03:483700;285.027;288.517;293.083
01/01/2014 03:503800;284.995;288.517;293.08
01/01/2014 03:513900;284.963;288.517;293.078
01/01/2014 03:523920;284.957;288.517;293.078
01/01/2014 03:534000;284.932;288.517;293.076
01/01/2014 03:544040;284.919;288.517;293.075
01/01/2014 03:554100;284.9;288.517;293.074
01/01/2014 03:564160;284.882;288.517;293.073
01/01/2014 03:564200;284.869;288.517;293.072
01/01/2014 03:584280;284.845;288.518;293.07
01/01/2014 03:584300;284.839;288.518;293.07
01/01/2014 04:004400;284.808;288.518;293.068
01/01/2014 04:014500;284.778;288.518;293.066
01/01/2014 04:024520;284.772;288.518;293.065
01/01/2014 04:034600;284.748;288.518;293.064
01/01/2014 04:044640;284.736;288.518;293.063
01/01/2014 04:054700;284.718;288.518;293.062
01/01/2014 04:064760;284.7;288.518;293.06
01/01/2014 04:064800;284.688;288.518;293.06
01/01/2014 04:084880;284.665;288.519;293.058
01/01/2014 04:084900;284.659;288.519;293.057
01/01/2014 04:105000;284.63;288.519;293.055
01/01/2014 04:115100;284.601;288.519;293.053
01/01/2014 04:125120;284.595;288.519;293.053
01/01/2014 04:135200;284.572;288.519;293.051
01/01/2014 04:145240;284.561;288.519;293.05
01/01/2014 04:155300;284.544;288.519;293.049
01/01/2014 04:165360;284.527;288.52;293.048
01/01/2014 04:165400;284.515;288.52;293.047
01/01/2014 04:185480;284.493;288.52;293.045
01/01/2014 04:185500;284.487;288.52;293.045
01/01/2014 04:205600;284.46;288.52;293.043
01/01/2014 04:215700;284.432;288.52;293.041
01/01/2014 04:225720;284.426;288.52;293.04
01/01/2014 04:235800;284.405;288.52;293.039
01/01/2014 04:245840;284.394;288.52;293.038
01/01/2014 04:255900;284.377;288.521;293.037
01/01/2014 04:265960;284.361;288.521;293.035
01/01/2014 04:266000;284.35;288.521;293.035
01/01/2014 04:286080;284.329;288.521;293.033
01/01/2014 04:286100;284.324;288.521;293.032
01/01/2014 04:306200;284.297;288.521;293.03
01/01/2014 04:316300;284.271;288.521;293.028
01/01/2014 04:326320;284.266;288.521;293.028
01/01/2014 04:336400;284.245;288.522;293.026
01/01/2014 04:346440;284.234;288.522;293.025
01/01/2014 04:356500;284.219;288.522;293.024
01/01/2014 04:366560;284.203;288.522;293.023
01/01/2014 04:366600;284.193;288.522;293.022
01/01/2014 04:386680;284.173;288.522;293.02
01/01/2014 04:386700;284.168;288.522;293.02
01/01/2014 04:406800;284.142;288.522;293.018
01/01/2014 04:416900;284.117;288.523;293.016
01/01/2014 04:426920;284.112;288.523;293.015
01/01/2014 04:437000;284.092;288.523;293.014
01/01/2014 04:447040;284.082;288.523;293.013
01/01/2014 04:457100;284.067;288.523;293.012
01/01/2014 04:467160;284.053;288.523;293.01
01/01/2014 04:467200;284.043;288.523;293.01
01/01/2014 04:487280;284.023;288.523;293.008
01/01/2014 04:487300;284.019;288.523;293.007
01/01/2014 04:507400;283.994;288.524;293.005
01/01/2014 04:517500;283.97;288.524;293.003
01/01/2014 04:527520;283.966;288.524;293.003
01/01/2014 04:537600;283.947;288.524;293.001
01/01/2014 04:547640;283.937;288.524;293
01/01/2014 04:557700;283.923;288.524;292.999
01/01/2014 04:567760;283.909;288.524;292.998
01/01/2014 04:567800;283.9;288.524;292.997
01/01/2014 04:587880;283.881;288.525;292.995
01/01/2014 04:587900;283.876;288.525;292.995
01/01/2014 05:008000;283.853;288.525;292.993
01/01/2014 05:018100;283.831;288.525;292.991
01/01/2014 05:028120;283.826;288.525;292.99
01/01/2014 05:038200;283.808;288.525;292.989
01/01/2014 05:048240;283.799;288.525;292.988
01/01/2014 05:058300;283.786;288.526;292.987
01/01/2014 05:068360;283.772;288.526;292.985
01/01/2014 05:068400;283.763;288.526;292.985
01/01/2014 05:088480;283.746;288.526;292.983
01/01/2014 05:088500;283.741;288.526;292.982
01/01/2014 05:108600;283.719;288.526;292.98
01/01/2014 05:118700;283.698;288.526;292.978
01/01/2014 05:128720;283.693;288.526;292.978
01/01/2014 05:138800;283.676;288.527;292.976
01/01/2014 05:148840;283.668;288.527;292.975
01/01/2014 05:158900;283.655;288.527;292.974
01/01/2014 05:168960;283.642;288.527;292.973
01/01/2014 05:169000;283.634;288.527;292.972
01/01/2014 05:189080;283.617;288.527;292.97
01/01/2014 05:189100;283.613;288.527;292.97
01/01/2014 05:209200;283.592;288.527;292.968
01/01/2014 05:219300;283.571;288.528;292.966
01/01/2014 05:229320;283.567;288.528;292.965
01/01/2014 05:239400;283.551;288.528;292.964
01/01/2014 05:249440;283.543;288.528;292.963
01/01/2014 05:259500;283.531;288.528;292.962
01/01/2014 05:269560;283.518;288.528;292.96
01/01/2014 05:269600;283.51;288.528;292.96
01/01/2014 05:289680;283.494;288.528;292.958
01/01/2014 05:289700;283.491;288.529;292.958
01/01/2014 05:309800;283.471;288.529;292.955
01/01/2014 05:319900;283.451;288.529;292.953
01/01/2014 05:329920;283.447;288.529;292.953
01/01/2014 05:330000;283.432;288.529;292.951
01/01/2014 05:340040;283.424;288.529;292.95
01/01/2014 05:350100;283.413;288.529;292.949
01/01/2014 05:360160;283.401;288.53;292.948
01/01/2014 05:360200;283.393;288.53;292.947
01/01/2014 05:380280;283.378;288.53;292.945
01/01/2014 05:380300;283.375;288.53;292.945
01/01/2014 05:400400;283.356;288.53;292.943
01/01/2014 05:410500;283.337;288.53;292.941
01/01/2014 05:420520;283.334;288.53;292.94
01/01/2014 05:430600;283.319;288.53;292.939
01/01/2014 05:440640;283.312;288.531;292.938
01/01/2014 05:450700;283.301;288.531;292.937
01/01/2014 05:460760;283.29;288.531;292.936
01/01/2014 05:460800;283.283;288.531;292.935
01/01/2014 05:480880;283.268;288.531;292.933
01/01/2014 05:480900;283.265;288.531;292.933
01/01/2014 05:501000;283.247;288.531;292.931
01/01/2014 05:511100;283.229;288.532;292.928
01/01/2014 05:521120;283.226;288.532;292.928
01/01/2014 05:531200;283.212;288.532;292.926
01/01/2014 05:541240;283.205;288.532;292.926
01/01/2014 05:551300;283.194;288.532;292.924
01/01/2014 05:561360;283.184;288.532;292.923
01/01/2014 05:561400;283.177;288.532;292.922
01/01/2014 05:581480;283.163;288.532;292.921
01/01/2014 05:581500;283.16;288.532;292.92
01/01/2014 05:591564;283.149;288.533;292.919
01/01/2014 05:591564.1;283.149;288.533;292.919
01/01/2014 05:591564.3;283.149;288.533;292.919
01/01/2014 05:591564.4;283.149;288.533;292.919
01/01/2014 05:591564.6;283.149;288.533;292.919
01/01/2014 05:591564.8;283.149;288.533;292.919
01/01/2014 05:591565;283.149;288.533;292.919
01/01/2014 05:591565.2;283.149;288.533;292.919
01/01/2014 05:591565.3;283.149;288.533;292.919
01/01/2014 05:591565.5;283.149;288.533;292.919
01/01/2014 05:591565.7;283.149;288.533;292.919
01/01/2014 05:591565.9;283.149;288.533;292.919
01/01/2014 05:591566.1;283.149;288.533;292.919
01/01/2014 05:591566.3;283.149;288.533;292.919
01/01/2014 05:591566.4;283.149;288.533;292.919
01/01/2014 05:591566.6;283.149;288.533;292.919
01/01/2014 05:591566.8;283.149;288.533;292.919
01/01/2014 05:591567;283.149;288.533;292.919
01/01/2014 05:591567.2;283.149;288.533;292.919
01/01/2014 05:591567.3;283.149;288.533;292.919
01/01/2014 05:591567.5;283.149;288.533;292.919
01/01/2014 05:591567.7;283.149;288.533;292.919
01/01/2014 05:591567.9;283.149;288.533;292.919
01/01/2014 05:591568.1;283.149;288.533;292.919
01/01/2014 05:591568.2;283.149;288.533;292.919
01/01/2014 05:591568.4;283.148;288.533;292.919
01/01/2014 05:591568.6;283.148;288.533;292.919
01/01/2014 05:591568.8;283.148;288.533;292.919
01/01/2014 05:591568.9;283.148;288.533;292.919
01/01/2014 05:591569.1;283.148;288.533;292.919
01/01/2014 05:591569.3;283.148;288.533;292.919
01/01/2014 05:591569.5;283.148;288.533;292.919
01/01/2014 05:591569.7;283.148;288.533;292.919
01/01/2014 05:591569.8;283.148;288.533;292.919
01/01/2014 05:591570;283.148;288.533;292.919
01/01/2014 05:591570.2;283.148;288.533;292.919
01/01/2014 05:591570.4;283.148;288.533;292.919
01/01/2014 05:591570.6;283.148;288.533;292.919
01/01/2014 05:591570.8;283.148;288.533;292.919
01/01/2014 05:591570.9;283.148;288.533;292.919
01/01/2014 05:591571.1;283.148;288.533;292.919
01/01/2014 05:591571.3;283.148;288.533;292.919
