Time,T1.T,T3.T,T5.T
21100,283.229,288.532,292.928
21120,283.226,288.532,292.928
21200,283.212,288.532,292.926
21200,283.212,288.532,292.926
21240,283.205,288.532,292.926
21300,283.194,288.532,292.924
21300,283.194,288.532,292.924
21360,283.184,288.532,292.923
21400,283.177,288.532,292.922
21400,283.177,288.532,292.922
21480,283.163,288.532,292.921
21500,283.16,288.532,292.92
21500,283.16,288.532,292.92
21564,283.149,288.533,292.919
21564,283.149,288.533,292.919
21564.1,283.149,288.533,292.919
21564.1,283.149,288.533,292.919
21564.3,283.149,288.533,292.919
21564.3,283.149,288.533,292.919
21564.4,283.149,288.533,292.919
21564.4,283.149,288.533,292.919
21564.6,283.149,288.533,292.919
21564.6,283.149,288.533,292.919
21564.8,283.149,288.533,292.919
21564.8,283.149,288.533,292.919
21565,283.149,288.533,292.919
21565,283.149,288.533,292.919
21565.2,283.149,288.533,292.919
21565.2,283.149,288.533,292.919
21565.3,283.149,288.533,292.919
21565.3,283.149,288.533,292.919
21565.5,283.149,288.533,292.919
21565.5,283.149,288.533,292.919
21565.7,283.149,288.533,292.919
21565.7,283.149,288.533,292.919
21565.9,283.149,288.533,292.919
21565.9,283.149,288.533,292.919
21566.1,283.149,288.533,292.919
21566.1,283.149,288.533,292.919
21566.3,283.149,288.533,292.919
21566.3,283.149,288.533,292.919
21566.4,283.149,288.533,292.919
21566.4,283.149,288.533,292.919
21566.6,283.149,288.533,292.919
21566.6,283.149,288.533,292.919
21566.8,283.149,288.533,292.919
21566.8,283.149,288.533,292.919
21567,283.149,288.533,292.919
21567,283.149,288.533,292.919
21567.2,283.149,288.533,292.919
21567.2,283.149,288.533,292.919
21567.3,283.149,288.533,292.919
21567.3,283.149,288.533,292.919
21567.5,283.149,288.533,292.919
21567.5,283.149,288.533,292.919
21567.7,283.149,288.533,292.919
21567.7,283.149,288.533,292.919
21567.9,283.149,288.533,292.919
21567.9,283.149,288.533,292.919
21568.1,283.149,288.533,292.919
21568.1,283.149,288.533,292.919
21568.2,283.149,288.533,292.919
21568.2,283.149,288.533,292.919
21568.4,283.148,288.533,292.919
21568.4,283.148,288.533,292.919
21568.6,283.148,288.533,292.919
21568.6,283.148,288.533,292.919
21568.8,283.148,288.533,292.919
21568.8,283.148,288.533,292.919
21568.9,283.148,288.533,292.919
21568.9,283.148,288.533,292.919
21569.1,283.148,288.533,292.919
21569.1,283.148,288.533,292.919
21569.3,283.148,288.533,292.919
21569.3,283.148,288.533,292.919
21569.5,283.148,288.533,292.919
21569.5,283.148,288.533,292.919
21569.7,283.148,288.533,292.919
21569.7,283.148,288.533,292.919
21569.8,283.148,288.533,292.919
21569.8,283.148,288.533,292.919
21570,283.148,288.533,292.919
21570,283.148,288.533,292.919
21570.2,283.148,288.533,292.919
21570.2,283.148,288.533,292.919
21570.4,283.148,288.533,292.919
21570.4,283.148,288.533,292.919
21570.6,283.148,288.533,292.919
21570.6,283.148,288.533,292.919
21570.8,283.148,288.533,292.919
21570.8,283.148,288.533,292.919
21570.9,283.148,288.533,292.919
21570.9,283.148,288.533,292.919
21571.1,283.148,288.533,292.919
21571.1,283.148,288.533,292.919
21571.3,283.148,288.533,292.919
21571.3,283.148,288.533,292.919
21571.5,283.148,288.533,292.919
21571.5,283.148,288.533,292.919
21571.7,283.148,288.533,292.919
21571.7,283.148,288.533,292.919
21571.8,283.148,288.533,292.919
21571.8,283.148,288.533,292.919
21572,283.148,288.533,292.919
21572,283.148,288.533,292.919
21572.2,283.148,288.533,292.919
21572.2,283.148,288.533,292.919
21572.4,283.148,288.533,292.919
21572.4,283.148,288.533,292.919
21572.6,283.148,288.533,292.919
21572.6,283.148,288.533,292.919
21572.7,283.148,288.533,292.919
21572.7,283.148,288.533,292.919
21572.9,283.148,288.533,292.919
21572.9,283.148,288.533,292.919
21573.1,283.148,288.533,292.919
21573.1,283.148,288.533,292.919
21573.3,283.148,288.533,292.919
21573.3,283.148,288.533,292.919
21573.4,283.148,288.533,292.919
21573.4,283.148,288.533,292.919
21573.6,283.148,288.533,292.919
21573.6,283.148,288.533,292.919
21573.8,283.148,288.533,292.919
21573.8,283.148,288.533,292.919
21574,283.148,288.533,292.919
21574,283.148,288.533,292.919
21574.2,283.148,288.533,292.919
21574.2,283.148,288.533,292.919
21574.3,283.147,288.533,292.919
21574.3,283.147,288.533,292.919
21574.5,283.147,288.533,292.919
21574.5,283.147,288.533,292.919
21574.7,283.147,288.533,292.919
21574.7,283.147,288.533,292.919
21574.9,283.147,288.533,292.919
21574.9,283.147,288.533,292.919
21575.1,283.147,288.533,292.919
21575.1,283.147,288.533,292.919
21575.3,283.147,288.533,292.919
21575.3,283.147,288.533,292.919
21575.4,283.147,288.533,292.919
21575.4,283.147,288.533,292.919
21575.6,283.147,288.533,292.919
21575.6,283.147,288.533,292.919
21575.8,283.147,288.533,292.919
21575.8,283.147,288.533,292.919
21576,283.147,288.533,292.919
21576,283.147,288.533,292.919
21576.2,283.147,288.533,292.919
21576.2,283.147,288.533,292.919
21576.3,283.147,288.533,292.919
21576.3,283.147,288.533,292.919
21576.5,283.147,288.533,292.919
21576.5,283.147,288.533,292.919
21576.7,283.147,288.533,292.919
21576.7,283.147,288.533,292.919
21576.9,283.147,288.533,292.919
21576.9,283.147,288.533,292.919
21577.1,283.147,288.533,292.919
21577.1,283.147,288.533,292.919
21577.2,283.147,288.533,292.919
21577.2,283.147,288.533,292.919
21577.4,283.147,288.533,292.919
21577.4,283.147,288.533,292.919
21577.6,283.147,288.533,292.919
21577.6,283.147,288.533,292.919
21577.8,283.147,288.533,292.919
21577.8,283.147,288.533,292.919
21577.9,283.147,288.533,292.919
21577.9,283.147,288.533,292.919
21578.1,283.147,288.533,292.919
21578.1,283.147,288.533,292.919
21578.3,283.147,288.533,292.919
21578.3,283.147,288.533,292.919
21578.5,283.147,288.533,292.919
21578.5,283.147,288.533,292.919
21578.7,283.147,288.533,292.919
21578.7,283.147,288.533,292.919
